number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontypeprice 1976,edition 1976,price 1977,edition 1977,price 1978,edition 1978,price 1979,edition 1979,price 1980,edition 1980
888,Медицинский реферативный журнал Разд. 20. Эндокринология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1975,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,1641.0,35.0,1522.0,50.0,1640.0,50.0,1394.0,50.0,1646.0
889,Медицинский реферативный журнал Разд. 21. Медицинская генетика. Общая и прикладная иммунология. Трансплантация органов и тканей.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1975,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,1237.0,50.0,1269.0,75.0,1212.0,75.0,1211.0,75.0,1158.0
890,Медицинский реферативный журнал Разд. 22. Фармация. Медицинская техника. Лабораторное дело.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1975,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,1586.0,50.0,1479.0,75.0,2134.0,75.0,2450.0,75.0,2041.0
891,Советская медицина,,СМ : Ежемес.науч.-практ. журн. Орган М-ва здравоохранения РСФСР.,Орган М-ва здравоохранения РСФСР.,1937,—М.:Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 Орган...,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,24784.0,40.0,22836.0,40.0,22963.0,40.0,20540.0,40.0,20006.0
892,Советская медицина,Сабчота ме-дицина,Орган М-ва здравоохранения ГССР.,Советская медицина = Сабчота ме-дицина : Орган М-ва здравоохранения ГССР.,1922,— Тбилиси : Изд-воЦК КП Грузии,"1976—Двухмес. Груз, яз., рез. на англ, и рус. яз.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,18250.0,50.0,20563.0,50.0,20875.0,50.0,19050.0,50.0,18350.0
893,Советский Красный Крест,,Ежемес.журн. Орган Исполкома ордена Ленина Союза о-в Красного Креста и Красного Полумесяца СССР.,Орган Исполкома ордена Ленина Союза о-в Красного Креста и Красного Полумесяца СССР.,1923,— М.,1976—,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,25.0,818231.0,25.0,870739.0,25.0,916864.0,25.0,951867.0,25.0,915267.0
894,Советское здравоохранение,,Еже-мес. науч.-практ. журн.,/ М-во здравоохранения СССР.,1942,— М. : Меди-цина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Еже-мес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,20998.0,40.0,21841.0,40.0,22958.0,40.0,22467.0,40.0,21366.0
895,Хроника ВОЗ,,"Ежемес. обзор ос-нов. мероприятий по здравоохранению, осуществляемых различными странами при поддержке ВОЗ.","Хроника ВОЗ : Ежемес. обзор ос-нов. мероприятий по здравоохранению, осуществляемых различными странами при поддержке ВОЗ.",1948,— Женева,"1976—Изд. на рус. яз. с 1960 (М. : Медицина). Выходит также в др. странах' на англ., нсп., кит. и фр. яз.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,,30.0,,30.0,,30.0,,30.0,
896,Акушерство и гинекология,,Ежемес.науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во акушеров-гнне-кологов.",1922,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,73749.0,35.0,78142.0,35.0,77119.0,35.0,76219.0,35.0,77606.0
897,Анестезиология и реаниматология,,Двухмес. науч.-практ. журн.,"/ М-во здраво-охранения СССР, Всесоюз. науч. о-во анестезиологов и реаниматологов.",1956,—	М. : Медицина,"1976—Рез. на англ. яз. Загл.: 1976 Экспериментальная хирургия и анестезиология. Подзаг.: 1976—1978 отсутствует. Н а д-з а г.: 1976 АМН СССР, Всесоюз. науч. о-во хирургов, Всесоюз. ...",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,8586.0,50.0,11985.0,50.0,14604.0,50.0,15233.0,50.0,15688.0
898,Антибиотики,,Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесо-76юз. науч. о-во эпидемиологов и микробиологов им. И. И. Мечникова.",1956,—М. : Медицина,"1976—Парад, загл. на англ. яз. : Antibiotics. Рез. на англ. яз. Подзаг.: 1976—1978 отсутствует. Надзаг.: 1976—1977 №5 ... о-во микробиологов и эпидемиологов нм. И. И. Мечникова.",Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,45.0,4187.0,45.0,4257.0,45.0,4705.0,45.0,4696.0,45.0,4187.0
899,Архив патологии,,Ежемес. пауч.-те-орет. журн.,"/ АМН СССР, Всесоюз. науч. о-во патологоанатомов.",1935,—М. : Медицина,1976—Рез. на англ. яз. Подзаг.; 19.76— 1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,5744.0,50.0,5858.0,50.0,5657.0,50.0,5390.0,50.0,5744.0
900,Вестник дерматологии и венерологии,,Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во дерматологов и венерологов.",1924,—	М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976—1978	отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,14015.0,40.0,14340.0,40.0,14567.0,40.0,14958.0,40.0,15484.0
901,Вестник оториноларингологииДвухмес. науч.-практ. журн. (,,,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во оториноларингологов.",1936,— М.:Медицина,1976—Рез. на англ. яз. Подзаг.: 1976—1979	№ 1 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,15536.0,50.0,15686.0,50.0,15925.0,50.0,15759.0,50.0,15874.0
902,Вестник офтальмологии,,Двухмес.науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во офтальмологов. ■",1884,— М. : Медицина,1976—Парал. загл. па англ. яз. : Annals of Ophthalmology. Рез. на англ. яз. Подзаг.: 1976—1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,45.0,15459.0,45.0,15707.0,45.0,16176.0,45.0,16165.0,45.0,16190.0
903,Вестник рентгенологии и радиологии,,Двухмес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во рентгенологов и радиологов.",1920,—	М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,19826.0,50.0,20013.0,50.0,20602.0,50.0,20592.0,50.0,20378.0
904,Вестник хирургии им. И. И. Грекова,,Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. о-во хирургов, Хирург, о-во Пирогова.",1885,—	Л. : Медицина,"Ленннгр. отд-ние, 1976—Ежегодно выходят 2 тома по 6 вып. в томе. Рез. на англ. яз. Подзаг.: 1976—1978 отсутствует.",Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,22880.0,60.0,23102.0,60.0,23710.0,60.0,23256.0,60.0,23332.0
905,Военно-медицинский журнал,,Еже-мес. теорет. и науч.-практ. журн. М-ва обороны СССР. ■,М-ва обороны СССР. ■,1823,— М. : Краснаязвезда,"1976—Подзаг.:	1976—1977 отсутствует;1978—1979 ... журн. Центр, воен.-мед. упр. М-ва обороны СССР. Надзаг.: 1976—1977	Центр, воен.-мед. упр. М-ва обороны СССР",Отдельные отрасли медицины,Еже-мес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,,30.0,,30.0,,30.0,,30.0,
415,Вопросы вирусологии. М,См. 415.,См. 415.,См. 415.,См. 415.,См. 415.,См. 415.,Отдельные отрасли медицины,См. 415.,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,,,,,,,,,,
906,"Вопросы курортологии, физиотера-пии и лечебной физической культуры",,Двухмес. науч.-практ. журн,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во физиотерапевтов и курортологов, Всесоюз. науч. о-во врачеб. контроля и лечеб. физ. культуры.",1929,— М. : Медицина,1976—	. — Подзаг.: 1976—1978 от-сутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,15754.0,40.0,15744.0,40.0,17267.0,40.0,17553.0,40.0,17842.0
907,Вопросы онкологии,,"Ежемес. на\'ч,-практ. журн.","/ М-во здравоохранения СССР, Всесоюз. науч. о-во онкологов.",1955,—	Л. : Медицина,"Ленннгр. отд-ние, 1976—Рез. на англ. яз. Подзаг.: 1976—1978	отсутствует.",Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,6221.0,60.0,6323.0,60.0,6649.0,60.0,6665.0,60.0,6484.0
908,Вопросы питания,,"Двухмес. начч,-практ. журн.","/ М-во здравоохранения СССР, Всесоюз. науч. о-во гигиенистов.",1932,—	М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,15916.0,50.0,15069.0,50.0,17390.0,50.0,18193.0,50.0,17242.0
909,Вопросы ревматизма,,"Кварт, науч.-практ. журн.","/ М-во здравоохранения СССР, Всесоюз. науч. ревматол. о-во.",1961,—	М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Кварт,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,12275.0,50.0,11616.0,50.0,12671.0,50.0,12275.0,50.0,11866.0
910,Гигиена и санитария,,Ежемес. на-уч.-практ. жури.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во гигиенистов.",1922,— М. : Медицина,"1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.1976. 17.420—17.855 экз.; 1977. 18.050— 18.387 экз.; 1978. 19.353—19.585 экз.; 1979. 17.965—18.163 экз.; 1980. 16.697—17.188 экз.—	Указ, к каждому году",Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,,17638.0,,18219.0,,19469.0,,18064.0,,16943.0
911,Гигиена труда и профессиональныезаболевания,,Ежемес. науч.-практ. жури.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во гигиенистов.",1957,— М. : Ме-дицина,1976—Рез. на англ. яз. Подзаг.: 1976—1978	отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,12350.0,40.0,13742.0,40.0,15224.0,40.0,12350.0,40.0,12311.0
912,Грудная хирургия ; Двухмес. науч.-практ. журн.,,,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во хирургов.",1959,—	М. ; Медицина,1976—Рез. на англ. яз. Подзаг.; 1976—1979	№ 1 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,3329.0,60.0,3381.0,60.0,3509.0,60.0,3565.0,60.0,3435.0
913,Журнал Вопросы нейрохирургии им. Н. Н. Бурденко,,Двухмес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во нейрохирургов.",1937,—	М. : Медицина,1976—Рез. на англ. яз. Загл.: 1976 Вопросы нейрохирургии. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,3818.0,40.0,3826.0,40.0,3826.0,40.0,3931.0,40.0,4075.0
420,"Журнал микробиологии, эпидемиологии и иммунологии. М",См. 420.,См. 420.,См. 420.,См. 420.,См. 420.,См. 420.,Отдельные отрасли медицины,См. 420.,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,,,,,,,,,,
914,Журнал невропатологии и психиат-рии им. С. С. Корсакова,,Ежемес. науч.-практ. журн.,/ М-во здравоохранения СССР. Всесоюз. науч. о-во невропатологов и психиатров.,1901,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,25043.0,60.0,26140.0,60.0,27083.0,60.0,27561.0,60.0,27670.0
915,"Журнал ушных, носовых и горло-вых болезней",,Двухмес. науч.-практ. журн.,"/ М-во здравоохранения УССР, Укр. науч. о-во отоларингологов.",1924,— Киев : Здоров'я,"1976—	. — Рез. на англ,яз.",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,9877.0,60.0,10156.0,60.0,10917.0,60.0,3911283.0,60.0,11578.0
916,Иммунология,,Двухмес. науч.-тео-рет. журн.,/ АМН СССР.,1980,—М. : А4едицина,1980. — Рез. на англ. яз.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,,,,,,,,,130.0,658.0
917,Кардиология,,Ежемес. науч.-практ.журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. кардиол. о-во.",1961,—М. : Медицина,1976—Парал. загл. на англ. яз. : Cardiology. Рез. на англ. яз. Подзаг.: 1976—1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,70.0,19247.0,70.0,20058.0,70.0,19743.0,70.0,20102.0,70.0,20397.0
918,Клиническая хирургия,,Ежемес.науч.-практ. журн. Орган М-ва здравоохранения УССР.,Орган М-ва здравоохранения УССР.,1921,— Киев:Здоров’я,1976—	. — Рез. на англ. яз.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,11282.0,50.0,11496.0,50.0,11940.0,50.0,11924.0,50.0,11980.0
424,Космическая биология и авиакосмическая медицина,См. 424.,См. 424.,См. 424.,См. 424.,См. 424.,См. 424.,Отдельные отрасли медицины,См. 424.,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,,,,,,,,,,
919,Кровообращение,,Прил. к «Журна-лу экспериментальной и клинической медицины»,/ АН АрмССР.,1968,— Ере-ван : Йзд-во АН АрмССР,"1976—Двухмес. Парал. загл. на арм. яз. ; Арян шрджанарутюн. Рез. на англ, н арм. яз.",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,2560.0,30.0,2620.0,30.0,2280.0,30.0,2085.0,30.0,1730.0
920,Медицинская паразитология и пара-зитарные болезни,,Двухмес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. о-во эпидемиологов, микробиологов и паразитологов нм. И. И. Мечникова.",1923,— М. : Медицина,"1976—Рез. па англ. яз. Подзаг.: 1976— 1978 отсутствует. Надзаг.: 1976—1977 № 1, 2, 6... СССР, Всесоюз. науч. мед. о-во эпидемиологов и микробиологов нм. И. И. Мечникова; 1977 № 3, 5, 1978 № 1—5... СССР, Всесоюз. науч. о-во эпидемиологов, микробиологов п паразитологов им. И. И. Мечникова.",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,4233.0,60.0,4305.0,60.0,4484.0,60.0,4299.0,60.0,4025.0
921,Медицинская радиология,,Ежемес.пауч.-теорет. журн.,"/ АМН СССР, Всесоюз. науч. о-во рентгенологов и радиологов.",1956,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,2974.0,40.0,3701.0,40.0,3085.0,40.0,2972.0,40.0,2954.0
922,Нейрофизиология Науч.-теорет.журн.,,,"/ АН СССР, Отд-ние физиологии, АН УССР, Отд-ние биохимии, физиологии и те-орет. медицины.",1969,— Ки-ев : Наук,"думка, 1976—Двухмес. Парал. загл. на англ. яз. : Neurophysiology. Рез. на англ. яз. Н а д-з а г.: 1976—1977 АН СССР, АН УССР.",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,90.0,1035.0,90.0,1070.0,90.0,1115.0,90.0,1070.0,90.0,1070.0
923,"Ортопедия, травматология и проте-зирование",,Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во травматологов-ортопедов.",1927,— М.; Харьков : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,12420.0,50.0,12521.0,50.0,13093.0,50.0,13220.0,50.0,13470.0
924,Офтальмологический журнал,,На-уч.-практ. журн.,/ М-во здравоохранения УССР.,1946,— Одесса : Здоров’я,1976—Журн. осн. в 1946 В. П. Филатовым. 8 раз в год. Рез. на англ. яз. Подзаг.: 1976—1978 № 1 отсутствует.,Отдельные отрасли медицины,8 раз в год,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,800.0,9973.0,800.0,10406.0,800.0,10884.0,800.0,10912.0,800.0,11000.0
925,Патологическая физиология и экс-периментальная терапия,,Двухмес. науч.-теорет. журн.,"/ АМН СССР, Всесоюз. науч. о-во патофизиологов.",1957,— М. :Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,2389.0,60.0,2326.0,60.0,2444.0,60.0,2365.0,60.0,2192.0
926,Педиатрия,,Журн. им. Г. Н. Спе-ранского. Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во дет. врачей.",1922,—М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 Журн. им. Г. Н. Сперанского.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,70686.0,35.0,72756.0,35.0,77079.0,35.0,70686.0,35.0,80828.0
927,"Педиатрия, акушерство и гинеколо-гия","Пед1атр1я, акушерство i пнеколопя",Двухмес. науч.-практ. журн.,/ М-во здравоохранения УССР.,1936,— Киев :Здоров’я,"1976—Укр. яз., рез. на рус. яз. Подзаг.: 1976—1978 № 1 отсутствует.",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,7582.0,50.0,7890.0,50.0,9685.0,50.0,7582.0,50.0,8208.0
928,Проблемы гематологии и переливания крови,,Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. о-во гематологов и трансфузнологов.",1956,—• М. : Медицина,"1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует. Н а д з а г.: 1979 № 1 — 7, 9, 11, 1980 № 2, 5... Всесоюз. науч. о-во...",Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,7977.0,30.0,7676.0,30.0,7634.0,30.0,7216.0,30.0,7214.0
929,Проблемы туберкулеза,,Ежемес.науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во фтизиатров.",1923,—М. : Медицина,1976— .Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,20268.0,35.0,19912.0,35.0,19564.0,35.0,18622.0,35.0,18168.0
930,Проблемы эндокринологии,,Двух-мес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во эндокринологов.",1955,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двух-мес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,6198.0,60.0,6565.0,60.0,6829.0,60.0,6637.0,60.0,6533.0
931,Стоматология,,Двухмес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. мед. о-во стоматологов.",1922,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,57017.0,50.0,56919.0,50.0,58992.0,50.0,59786.0,50.0,60528.0
932,Судебно-медицинская экспертиза,,"Кварт, науч.-практ. журн.","/ М-во здравоохранения СССР, Всесоюз. науч. о-во судеб, медиков.",1958,—М.: Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Кварт,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,21443.0,40.0,18312.0,40.0,21757.0,40.0,21455.0,40.0,23545.0
933,Терапевтический архив,,Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во терапевтов.",1923,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976—1978 отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,70.0,53818.0,70.0,59266.0,70.0,69978.0,70.0,74052.0,70.0,77983.0
934,Урология и нефрология,,Двухмес. науч.-практ. журн.,"/ М-во здравоохранения.79СССР, Всесоюз. науч. о-во урологов.",1923,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,11049.0,50.0,11049.0,50.0,11973.0,50.0,12026.0,50.0,11932.0
935,Фармакология и токсикология .Двухмес. науч.-теорет. журн.,,,"/ АМН СССР, ВсеСоюз. науч. о-во фармакологов.",1938,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,55.0,3992.0,55.0,4035.0,55.0,4319.0,55.0,4308.0,55.0,4318.0
936,Фармацевтический журнал,Фар-мацевтичний журнал,Двухмес. науч.-практ. журн. М-ва здравоохранения УССР.,М-ва здравоохранения УССР.,1928,— Киев : Здоров’я,"1976—Укр. яз., рез. на англ, и рус. яз. Подзаг.: 1976—1979 № 4 отсутствует. Н а д-заг.: 1976—1979 № 4 М-во здравоохранения УССР.",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,13893.0,40.0,14508.0,40.0,14392.0,40.0,14171.0,40.0,13880.0
937,Фармация,,Двухмес. науч.-практ.журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во фармацевтов.",1952,—М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,48680.0,40.0,68515.0,40.0,49883.0,40.0,50980.0,40.0,52749.0
938,Фельдшер и акушерка,,Ежемес.массово-практ. журн.,/ М-во здравоохранения РСФСР.,1936,— М. : Медицина,1976—	. — Подзаг.: 1976—1978отсутствует.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,20.0,285707.0,20.0,283905.0,20.0,296010.0,20.0,298393.0,20.0,295245.0
939,Химико-фармацевтический журнал,,Ежемес. науч.-техн. и произв. журн.,/ М-во мед. пром-сти СССР.,1967,— М. :Медицина,1976—,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,70.0,2127.0,70.0,2079.0,70.0,2104.0,70.0,2173.0,70.0,1999.0
940,Хирургия,,Журн. им. Н. И. Пиро-гова. Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во хирургов.",1925,— М. : Медицина,1976— .	.Рез. на англ. яз. Подзаг.: 1976— 1978 Журн. им. Н. И. Пирогова.,Отдельные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,27376.0,60.0,28013.0,60.0,29405.0,60.0,29032.0,60.0,29623.0
941,Экспериментальная онкология,,Науч.-теорет. журн.,"/ АН СССР, Отд-ние физиологии, АН УССР, Отд-ние биохимии, физиологии и теорет. медицины.",1979,— Киев : Наук,"думка, 1979— Двухмес. Парал. загл. на англ. яз. :Experimental Oncology. Рез. на англ. яз.",Отдельные отрасли медицины,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,,,,,,,80.0,1000.0,80.0,1000.0
