number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1977,edition 1977,price 1978,edition 1978,price 1979,edition 1979,price 1980,edition 1980
2133,Экспресс-информация Проблемы кардиологии.,,,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,"Ежемес. Загл. серии: 1976 — 1979 Заболевания сердечно-сосудистой системы,",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,9140.0,15.0,9030.0,15.0,10188.0,15.0,7745.0
2134,Экспресс-информация Психофармакология.,,,/ ВНИИ мед. и мед.-техн. информ.,1968,— М.,. —Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,2240.0,15.0,2430.0,15.0,2635.0,15.0,2645.0
2135,Экспресс-информация Ревматология.,,,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,— Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,2375.0,15.0,2660.0,15.0,2763.0,15.0,2925.0
2136,Экспресс-информация Социальная гигиена и организация здравоохранения.,,,/ ВНИИ мед. и мед.-техн. информ.,1971,— М.,. — Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,2285.0,15.0,2705.0,15.0,3370.0,15.0,3340.0
2137,Экспресс-информация Травматология и ортопедия.,,,/ ВНИИ мед. и мед.-техн. информ.,1972,— М.,Ежемес,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,1745.0,15.0,1840.0,15.0,2010.0,15.0,2120.0
2138,Экспресс-информация Хирургия.,,,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,. — Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,20.0,2390.0,30.0,2770.0,30.0,2960.0,30.0,3145.0
2139,Экспресс-информация,,,"/ ВНИИ мед. и мед.-техн. информ., Центр, ин-т травматологии и ортопедии им. Н. Н. Приорова : Травматология и ортопедия.",1973,— М.,1977 —20 к. №	200 экз.1977 № 1	3; 1978 № 1 — 6;	1979№ 1 — 4; 1980 № 1 — 4.№ 6 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,20.0,200.0,20.0,200.0,20.0,200.0,20.0,200.0
2140,Экспресс-информация,,2140.	Экспресс-информация,"/ ГипроНИИ-здрав, ВНИИ мед. и мед.-техн. информ.",,— М.,"1977 —№ 14(52).	1977.	60 к. 1.000 экзг,№ 45(53). 1978. 40 к. 1.000 экз.; №55.1980.	30 к. 800 экз.№ 13(51) — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,60.0,1000.0,40.0,1000.0,,,30.0,800.0
2141,Экспресс-информация Серия	Лекарственное растениеводство.,,,/ М-во мед. пром-сти.,1978,— М. : ЦБНТИ медпром,. — Ежемес.1978. 6 — 9 к. 250 — 450 экз.; 1979.' 5 — 8 к. 450 — 900 экз.; 1980. 6 — 13 к. 900 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,8.0,350.0,9.0,350.0,10.0,900.0
2142,Экспресс-информация Серия Передовой опыт в промышленности медицинского стекла и пластических масс.,,,/ М-во мед. пром-сти.,1978,— М. : ЦБНТИ медпром,. — Ежекварт.1978. 13 — 20 к. 400 экз.; 1979.	11 —17	к. 350 — 400 экз.; 1980.	9 — 17 к.350 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,17.0,400.0,20.0,400.0,13.0,350.0
2143,Экспресс-информация Серия Передовой опыт в промышленности медицинской техники.,,,/ М-во мед. пром-сти.,1975,— М. : ЦБНТИ медпром,Ежемес. Загл. серии:	1976 —1977 Серия: Передовой производственный опыт ...1977. 3 — 17 к. 335 — 1.000 экз.; 1978.11 — 23 к. 450 — 520 экз.; 1979.	11 —23 к. 490 — 540 экз.; 1980.	9 — 21 к.540 — 1.000 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,668.0,17.0,485.0,17.0,515.0,15.0,770.0
2144,Экспресс-информация Серия Передовой опыт в химико-фармацевтической	промышленности.,,,/ М-во мед. пром-сти.,1976,— М. : ЦБНТИ медпром,Ежемес. Загл. серии: 1976 —1977	Серия: Передовой производственный опыт ...1977.	3 — 17 к. 400 — 560 экз.; 1978. 9 — 23 к. 420 — 560 экз.; 1979. 10 — 25 к. 550 экз.; 1980. 16 — 28 к. 520 — 1.000 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,480.0,16.0,490.0,18.0,550.0,22.0,760.0
2145,Экспресс-информация Серия Производство медицинского стекла и пластических масс за рубежом.,,,/ М-во мед. пром-сти.,1978,— М. : ЦБНТИ медпром,". — Ежемес.1978.	5 — 17 к. 230 — 280 экз.; 1979. 13 — 23 к. 250 — 300 экз.; 1980. 11 —18	к. 300 экз. — Указ, к каждому году",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,11.0,255.0,18.0,275.0,17.0,255.0
2146,Экспресс-информация Серия Производство медицинской техники за рубежом.,,,/ М-во мед. пром-сти.,1975,— М. : ЦБНТИ медпром,2 раза в мес. Загл. серии: 1976 — 1977 Серия: Медицинская техника за рубежом.1411977. 3 — 9 к. 375 — 630 экз.;	1978.8 — 21 к. 450 — 540 экз.; 1979. 6 — 19 к. 450 — 530 экз.; 1980. 9 — 19 к. 530 экз.— Указ.' к каждому году.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,2 раза в мес.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,6.0,503.0,15.0,495.0,13.0,490.0,14.0,530.0
2147,Экспресс-информация Серия	Промышленность медицинскогостекла и пластических масс.,,,/ М-во мед. пром-сти.,1970,— М. : ЦБНТИ медпром,— Ежемес.1977. 5 — 8 к. 230 — 280 экз.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,7.0,255.0,,,,,,
2148,Экспресс-информация Серия	Промышленность медицинскойтехники.,,,/ М-во мед. пром-сти.,1970,— М. : ЦБНТИ медпром,— 2 раза в мес.1977. 3 — 10 к. 415 — 495 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,2 раза в мес.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,7.0,455.0,,,,,,
2149,Экспресс-информация Серия Химико-фармацевтическая промышленность.,,,/ М-во мед. пром-сти.,1970,— М. : ЦБНТИ медпром,"— 2 раза в мес.1977.	5 — 11 к. 370 — 490 экз. — Указ, к году.",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,2 раза в мес.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,8.0,430.0,,,,,,
2150,Экспресс-информация Серия Химико-фармацевтическое производство за рубежом.,,,/ М-во мед. пром-сти.,1978,— М. : ЦБНТИ медпром,". —2 раза в мес.1978. 8 — 15 к. 450 экз.; 1979.	7 —22 к. 450 — 520 экз.; 1980.	7 — 21 к.520 экз. — Указ, к каждому году.",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,2 раза в мес.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,12.0,450.0,15.0,485.0,14.0,520.0
