number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1955,edition 1955,price 1956,edition 1956,price 1957,edition 1957,price 1958,edition 1958,price 1959,edition 1959,price 1960,edition 1960
4958,Сборник трудов,,,Свердл. гор. клинич. больница № 1,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,1658.0,1000.0,,,,
4992,*Сборник трудов,См. 4992.,См. 4992.,См. 4992.,См. 4992.,См. 4992.,См. 4992.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4959,Сборник трудов,,,Сталинский ин—т усовершенствования врачей. Сталинскийгор. отд. здравоохранения,1931,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1530.0,1200.0,,,,,1975.0,1500.0
4999,*Сборник трудов,См. 4999.,См. 4999.,См. 4999.,См. 4999.,См. 4999.,См. 4999.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4960,Труды Аджарского общества врачей,,,Аджарского общества врачей,1951,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,700.0,1000.0,600.0,1000.0,,,,,,,500.0,350.0
4961,Труды Астраханского государственного медицинского института им А В Луначарского,,,Астраханского государственного медицинского института им А В Луначарского,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,2280.0,550.0,2280.0,1000.0,2280.0,600.0,,,2280.0,1000.0
4962,Труды Благовещенского государственного медицинского института,,,Благовещенского государственного медицинского института,1955,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,2325.0,1000.0,2325.0,1000.0,2325.0,3000.0,,,2325.0,1000.0,,
4924,*Труды Винницкого государственного медицинского института,См. 4924.,См. 4924.,См. 4924.,См. 4924.,См. 4924.,См. 4924.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4963,Труды Воронежского медицинского института,,,Воронежского медицинского института,1932,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,830.0,500.0,830.0,500.0,877.0,667.0,650.0,600.0,1240.0,633.0
4964,Труды врачей Юго—Западной железной дороги,,,Врачебно—сан. служба Юго—Зап. ж. д.,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,1000.0,,,,
4965,Труды Государственного института усовершенствования врачей им,,,Государственного института усовершенствования врачей им,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,1000.0,1000.0,,,1000.0,1000.0
4926,*Труды Дагестанского государственного медицинского института,См. 4926.,См. 4926.,См. 4926.,См. 4926.,См. 4926.,См. 4926.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4966,Труды Ереванского медицинского института,,,Ереванского медицинского института,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,1735.0,1000.0,,,1735.0,1000.0,,,1500.0,1000.0
4967,Труды Запорожского государственного института усовершенствования врачей нм,,,Запорожского государственного института усовершенствования врачей нм,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,770.0,500.0,,,,,770.0,1000.0
4968,Труды Института,,,Ин—т эксперим. медицины,1952,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1006.0,1050.0,1068.0,1113.0,1228.0,1200.0,1425.0,900.0,1408.0,1000.0,1548.0,1500.0
4969,Труды Института краевой медицины,,,Акад. наук Киргиз. ССР,1956,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,975.0,500.0,,,,,1150.0,500.0,,
4970,Труды Института организации здравоохранения и истории медицины им,,,Института организации здравоохранения и истории медицины им,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,400.0,1500.0,442.0,1400.0,,
4971,Труды Института экспериментальной медицины Академии наук Литовской ССР,,,Института экспериментальной медицины Академии наук Литовской ССР,1948,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,795.0,500.0,,,,,1200.0,620.0,1200.0,1000.0,,
4972,Труды Калининского государственного медицинского института,,,Калининского государственного медицинского института,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,725.0,1000.0,,,,,920.0,3000.0
4973,Труды Карагандинского государственного медицинского института,,,Карагандинского государственного медицинского института,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,1000.0,,,,,,
4974,Труды Каунасского государственного медицинского института,,,Каунасского государственного медицинского института,1953,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,840.0,800.0,,,1112.0,770.0,1400.0,1000.0,1358.0,1000.0,1500.0,1000.0
4975,Труды,,,"Киргиз, гос. мед. ин—т",1943,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,3000.0,1090.0,1500.0,500.0,1000.0,500.0,1000.0,650.0,1000.0,650.0
4976,Труды,,,Кишиневский гос. мед. Ин—т,1949,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1275.0,500.0,1890.0,500.0,1240.0,500.0,395.0,500.0,460.0,500.0,732.0,1333.0
4977,Труды,,,Крымский гос. мед. ин—т,1935,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1000.0,550.0,1000.0,533.0,633.0,750.0,800.0,500.0
4878,* Труды Кубанского медицинского инсги—тута,См. 4878.,См. 4878.,См. 4878.,См. 4878.,См. 4878.,См. 4878.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4978,Труды Куйбышевского медицинского института,,,Куйбышевского медицинского института,1948,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,1200.0,500.0,1700.0,1450.0,,,1000.0,500.0,1875.0,925.0
4979,Труды,,,Львовский гос. мед. ин—т,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,947.0,1250.0,356.0,920.0,817.0,1000.0,,
4980,Труды Медицинского института,,,Ижев. гос. мед. ин—т,1935,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,1000.0,,1000.0,,,,
4981,Труды молодых научных сотрудников,,,Моск. обл. науч.—исслед. клинич. ин—т им. М. Ф. Владимирского,1959,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,965.0,1000.0,,
4988,*Труды Молотовского государственного медицинскою института,См. 4988.,См. 4988.,См. 4988.,См. 4988.,См. 4988.,См. 4988.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4982,Труды Новосибирского государственного медицинского института,,,Новосибирского государственного медицинского института,1931,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1380.0,1750.0,,,,,1380.0,1000.0,1750.0,1500.0,1600.0,1300.0
4955,*Труды Одесского государственного медицинского института им Н И Пирогова,См. 4955.,См. 4955.,См. 4955.,См. 4955.,См. 4955.,См. 4955.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4983,Труды Одесской областной клинической больницы,,,Одес. гос. мед. ин—т им. Пирогова,1936,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,1500.0,500.0,,,1500.0,1000.0,,,,
4984,Труды Омского медицинского института им,,,Омского медицинского института им,1923,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,870.0,800.0,870.0,633.0,870.0,400.0,765.0,1000.0,1059.0,900.0
4985,Труды Оренбургского медицинского института,,,Оренбургского медицинского института,1949,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1665.0,725.0,1665.0,500.0,,,1665.0,500.0,,,1665.0,1000.0
4986,Труды 1—го Московского ордена Ленина медицинского института им И М Сеченова,,,1—го Московского ордена Ленина медицинского института им И М Сеченова,1956,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1000.0,3000.0,950.0,2300.0,825.0,1500.0,975.0,2250.0
4987,Труды,,,1—я гор. клинич. больница ГССР,1932,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,500.0,,,,
4988,Труды Пермского медицинского института,,,Пермского медицинского института,1933,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1215.0,850.0,1220.0,1000.0,1415.0,750.0,840.0,933.0
4957,*Труды по организации профилактической работы и медицинского обслуживания населения Ленинградской области,См. 4957.,См. 4957.,См. 4957.,См. 4957.,См. 4957.,См. 4957.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4880,*Труды Самаркандского медицинского института им,См. 4880.,См. 4880.,См. 4880.,См. 4880.,См. 4880.,См. 4880.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4989,Труды Саратовского государственного медицинского института,,,Саратовского государственного медицинского института,1910,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1070.0,600.0,1070.0,800.0,739.0,1800.0,908.0,1300.0
4937,*Труды Свердловского государственного медицинского института,См. 4937.,См. 4937.,См. 4937.,См. 4937.,См. 4937.,См. 4937.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4869,*Труды Северо—Осетинского государственного медицинского института,См. 4869.,См. 4869.,См. 4869.,См. 4869.,См. 4869.,См. 4869.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4990,Труды Семипалатинского государственного медицинского института,,,Семипалатинского государственного медицинского института,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,3542.0,500.0,,,3542.0,500.0,,
4991,Труды Смоленского государственного медицинского института,,,Смоленского государственного медицинского института,1947,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,2500.0,300.0,,,2500.0,100.0,2500.0,450.0,2500.0,800.0,,
4992,Труды Сталинабадского медицинского института им Абуали Ибн—Сино Авиценны,,,Сталинаб. гос. мед. ин—т,1941,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1067.0,500.0,1203.0,600.0,950.0,531.0,783.0,533.0,800.0,700.0,700.0,500.0
4993,Труды Сталинградской областной клинической больницы,,,Сталинградской областной клинической больницы,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,800.0,1100.0,,,700.0,1000.0
4994,Труды Сталинского государственного медицинского института им,,,Донецкий мед. ин—т,1936,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,600.0,950.0,733.0,2438.0,600.0,2000.0,550.0,2000.0
4995,Труды Студенческого научногообщества,,,Азербайдж. гос. мед. ин—т им. И. Нариманова,1960,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,390.0,1000.0
4996,Труды Студенческого научного общества Хабаровского медицинского института,,,Студенческого научного общества Хабаровского медицинского института,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,500.0,,,,
4997,Труды Ташкентского института усовершенствования врачей,,,Ташкентского института усовершенствования врачей,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,2200.0,500.0,,,1500.0,750.0,1510.0,1000.0,,
4998,Труды,,,Тбилис. гос. мед. ин—т,1937,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,3090.0,500.0,415.0,367.0,3090.0,267.0,1635.0,750.0,,
4999,Труды,,,Тбилис. ин—т усовершенствования врачей,1948,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1750.0,500.0,,,,,1750.0,500.0,,,,
5000,Труды,,,Терноп. гос. мед. ин—т,1960,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,1990.0,1000.0
5001,Труды Туркменского государственного медицинского института,,,Туркменского государственного медицинского института,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,2100.0,1000.0,,,2100.0,1000.0,,,,,1035.0,875.0
5002,Труды Украинского научно—исследовательского института клинической медицины им,,,Укр. ин—т клинич. медицины,1940,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,745.0,2000.0,600.0,2000.0,1200.0,2000.0,,
5003,Труды Хабаровского медицинского института,,,Хабаровского медицинского института,1934,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,500.0,1000.0,,,500.0,1000.0,500.0,1000.0,700.0,1100.0,750.0,750.0
5004,Труды Харьковского государственного медицинского института,,,Харьковского государственного медицинского института,1935,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1500.0,750.0,,,,,1233.0,1000.0,434.0,1833.0,950.0,1400.0
5005,Труды,,,Харьк. науч. мед. о—во,1949,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,195.0,2000.0,1225.0,1268.0,1285.0,929.0,1735.0,1000.0,1350.0,1250.0
4985,*Труды Чкаловского государственного медицинского института,См. 4985.,См. 4985.,См. 4985.,См. 4985.,См. 4985.,См. 4985.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
5006,Труды Ярославского медицинского института,,,Ярославского медицинского института,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1400.0,1500.0,435.0,3000.0,508.0,1667.0,1400.0,1000.0
5007,Ученые записки,,,Второй Моск. гос. мед. ин—т им. Н. Пирогова,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,950.0,622.0,650.0,975.0,,,,
5008,Ученые записки Горьковского государственного медицинского института им,,,Горьковского государственного медицинского института им,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,700.0,500.0,700.0,500.0,1333.0,500.0,1000.0,500.0
5009,Ученые записки,,,Первый Ленингр. мед. ин—т им. акад. И. П. Павлова,1944,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1150.0,2000.0,,,,,,,1200.0,1000.0,,
3186,*Химия и медицина,См. 3186.,См. 3186.,См. 3186.,См. 3186.,См. 3186.,См. 3186.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
5010,Ученые записки,,,Ставроп. гос. мед. ин—т,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,750.0,500.0,750.0,1000.0,940.0,1000.0,,
5016,*Бюллетень здравоохранения,См. 5016.,См. 5016.,См. 5016.,См. 5016.,См. 5016.,См. 5016.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,БЮЛЛЕТЕНИ И ИНФОРМАЦИОННЫЕ ИЗДАНИЯ,,,,,,,,,,,,
